Country (or dependency),Population (2020),Land Area (Km²),Migrants (net)
China,1440297825,9388211,-348399
India,1382345085,2973190,-532687
United States,331341050,9147420,954806
Indonesia,274021604,1811570,-98955
Pakistan,221612785,770880,-233379
Brazil,212821986,8358140,21200
Nigeria,206984347,910770,-60000
Bangladesh,164972348,130170,-369501
Russia,145945524,16376870,182456
Mexico,129166028,1943950,-60000
Japan,126407422,364555,71560
Ethiopia,115434444,1000000,30000
Philippines,109830324,298170,-67152
Egypt,102659126,995450,-38033
Vietnam,97490013,310070,-80000
DR Congo,90003954,2267050,23861
Turkey,84495243,769630,283922
Iran,84176929,1628550,-55000
Germany,83830972,348560,543822
Thailand,69830779,510890,19444
United Kingdom,67948282,241930,260650
France,65298930,547557,36527
Italy,60446035,294140,148943
Tanzania,60012400,885800,-40076
South Africa,59436725,1213090,145405
Myanmar,54473253,653290,-163313
Kenya,53968739,569140,-10000
South Korea,51276977,97230,11731
Colombia,50976248,1109500,204796
Spain,46757980,498800,40000
Uganda,45974931,199810,168694
Argentina,45267449,2736690,4800
Algeria,43984569,2381740,-10000
Sudan,44019263,1765048,-50000
Ukraine,43686577,579320,10000
Iraq,40372771,434320,7834
Afghanistan,39074280,652860,-62920
Poland,37839255,306230,-29395
Canada,37799407,9093510,242032
Morocco,36985624,446300,-51419
Saudi Arabia,34905942,2149690,134979
Uzbekistan,33551824,425400,-8863
Peru,33050211,1280000,99069
Angola,33032075,1246700,6413
Malaysia,32436963,328550,50000
Mozambique,31398811,786380,-5000
Ghana,31181428,227540,-10000
Yemen,29935468,527970,-30000
Nepal,29225196,143350,41710
Venezuela,28421581,882050,-653249
Madagascar,27808395,581795,-1500
Cameroon,26655083,472710,-4800
Côte d'Ivoire,26486282,318000,-8000
North Korea,25798588,120410,-5403
Australia,25550683,7682300,158246
Niger,24346468,1266700,4000
Taiwan,23824369,35410,30001
Sri Lanka,21428970,62710,-97986
Burkina Faso,20997293,273600,-25000
Mali,20346106,1220190,-40000
Romania,19214608,230170,-73999
Malawi,19211425,94280,-16053
Chile,19144605,743532,111708
Kazakhstan,18815231,2699700,-18000
Zambia,18468257,743390,-8000
Guatemala,17971382,107160,-9215
Ecuador,17688599,248360,36400
Syria,17571053,183630,-427391
Netherlands,17141544,33720,16000
Senegal,16816539,192530,-20000
Cambodia,16758448,176520,-30000
Chad,16502877,1259200,2000
Somalia,15965848,627340,-40000
Zimbabwe,14899771,386850,-116858
Guinea,13191279,245720,-4000
Rwanda,13005303,24670,-9000
Benin,12175480,112760,-2000
Burundi,11948454,25680,2001
Tunisia,11839918,155360,-4000
Bolivia,11700207,1083300,-9504
Belgium,11598451,30280,48000
Haiti,11426356,27560,-35000
Cuba,11325391,106440,-14400
South Sudan,11216250,610952,-174200
Dominican Republic,10866667,48320,-30000
Czech Republic (Czechia),10712481,77240,22011
Greece,10413936,128900,-16000
Jordan,10220604,88780,10220
Portugal,10191409,91590,-6000
Azerbaijan,10154978,82658,1200
Sweden,10110233,410340,40000
Honduras,9931333,111890,-6800
United Arab Emirates,9910892,83600,40000
Hungary,9655983,90530,6000
Tajikistan,9573310,139960,-20000
Belarus,9448772,202910,8730
Austria,9015361,82409,65000
Papua New Guinea,8975531,452860,-800
Serbia,8731081,87460,4000
Israel,8678517,21640,10000
Switzerland,8665615,39516,52000
Togo,8310934,54390,-2000
Sierra Leone,8004158,72180,-4200
